"Población de la C.A. de Euskadi por ámbitos territoriales, grandes grupos de edad cumplida, sexo y periodo"

"ámbitos territoriales","grandes grupos de edad cumplida","sexo","2022"
"Abadiño",">= 65","Total",1640
"Abanto y Ciérvana-Abanto Zierbena",">= 65","Total",1883
"Ajangiz",">= 65","Total",117
"Alonsotegi",">= 65","Total",656
"Amorebieta-Etxano",">= 65","Total",3943
"Amoroto",">= 65","Total",84
"Arakaldo",">= 65","Total",22
"Arantzazu",">= 65","Total",83
"Areatza",">= 65","Total",234
"Arrankudiaga",">= 65","Total",194
"Arratzu",">= 65","Total",110
"Arrieta",">= 65","Total",112
"Arrigorriaga",">= 65","Total",2257
"Artea",">= 65","Total",176
"Artzentales",">= 65","Total",177
"Atxondo",">= 65","Total",342
"Aulesti",">= 65","Total",178
"Bakio",">= 65","Total",514
"Balmaseda",">= 65","Total",1831
"Barakaldo",">= 65","Total",23072
"Barrika",">= 65","Total",356
"Basauri",">= 65","Total",11088
"Bedia",">= 65","Total",228
"Berango",">= 65","Total",1324
"Bermeo",">= 65","Total",3960
"Berriatua",">= 65","Total",276
"Berriz",">= 65","Total",1003
"Bilbao",">= 65","Total",83848
"Busturia",">= 65","Total",463
"Derio",">= 65","Total",1298
"Dima",">= 65","Total",275
"Durango",">= 65","Total",5819
"Ea",">= 65","Total",243
"Elantxobe",">= 65","Total",112
"Elorrio",">= 65","Total",1715
"Erandio",">= 65","Total",5407
"Ereño",">= 65","Total",81
"Ermua",">= 65","Total",4059
"Errigoiti",">= 65","Total",123
"Etxebarri",">= 65","Total",1752
"Etxebarria",">= 65","Total",160
"Forua",">= 65","Total",243
"Fruiz",">= 65","Total",98
"Galdakao",">= 65","Total",6894
"Galdames",">= 65","Total",207
"Gamiz-Fika",">= 65","Total",298
"Garai",">= 65","Total",54
"Gatika",">= 65","Total",350
"Gautegiz Arteaga",">= 65","Total",191
"Gernika-Lumo",">= 65","Total",3951
"Getxo",">= 65","Total",20276
"Gizaburuaga",">= 65","Total",29
"Gordexola",">= 65","Total",360
"Gorliz",">= 65","Total",1203
"Güeñes",">= 65","Total",1338
"Ibarrangelu",">= 65","Total",164
"Igorre",">= 65","Total",900
"Ispaster",">= 65","Total",167
"Iurreta",">= 65","Total",881
"Izurtza",">= 65","Total",55
"Karrantza Harana/Valle de Carranza",">= 65","Total",752
"Kortezubi",">= 65","Total",95
"Lanestosa",">= 65","Total",78
"Larrabetzu",">= 65","Total",387
"Laukiz",">= 65","Total",244
"Leioa",">= 65","Total",6596
"Lekeitio",">= 65","Total",1869
"Lemoa",">= 65","Total",614
"Lemoiz",">= 65","Total",207
"Lezama",">= 65","Total",505
"Loiu",">= 65","Total",466
"Mallabia",">= 65","Total",285
"Mañaria",">= 65","Total",116
"Markina-Xemein",">= 65","Total",1113
"Maruri-Jatabe",">= 65","Total",208
"Mendata",">= 65","Total",95
"Mendexa",">= 65","Total",102
"Meñaka",">= 65","Total",191
"Morga",">= 65","Total",117
"Mundaka",">= 65","Total",505
"Mungia",">= 65","Total",3111
"Munitibar -Arbatzegi Gerrikaitz-",">= 65","Total",97
"Murueta",">= 65","Total",58
"Muskiz",">= 65","Total",1481
"Muxika",">= 65","Total",311
"Nabarniz",">= 65","Total",61
"Ondarroa",">= 65","Total",2216
"Orozko",">= 65","Total",546
"Ortuella",">= 65","Total",1940
"Otxandio",">= 65","Total",292
"Plentzia",">= 65","Total",870
"Portugalete",">= 65","Total",12735
"Santurtzi",">= 65","Total",11009
"Sestao",">= 65","Total",6801
"Sondika",">= 65","Total",977
"Sopela",">= 65","Total",2209
"Sopuerta",">= 65","Total",580
"Sukarrieta",">= 65","Total",124
"Trucios-Turtzioz",">= 65","Total",133
"Ubide",">= 65","Total",27
"Ugao-Miraballes",">= 65","Total",900
"Urduliz",">= 65","Total",845
"Urduña-Orduña",">= 65","Total",982
"Valle de Trápaga-Trapagaran",">= 65","Total",2873
"Zaldibar",">= 65","Total",671
"Zalla",">= 65","Total",1887
"Zamudio",">= 65","Total",751
"Zaratamo",">= 65","Total",330
"Zeanuri",">= 65","Total",273
"Zeberio",">= 65","Total",241
"Zierbena",">= 65","Total",315
"Ziortza-Bolibar",">= 65","Total",107
