Variable 1,Variable 2,r,abs_r
Nivel_soledad,edad,0.2858772198452526,0.2858772198452526
edad,Nivel_soledad,0.2858772198452526,0.2858772198452526
Nivel_soledad,lim_fisica,0.21714373116157307,0.21714373116157307
lim_fisica,Nivel_soledad,0.21714373116157307,0.21714373116157307
ingresos_economicos,Nivel_soledad,0.21084795420263958,0.21084795420263958
Nivel_soledad,ingresos_economicos,0.21084795420263958,0.21084795420263958
municipio_rec_ocio,Nivel_soledad,0.2042471095992055,0.2042471095992055
Nivel_soledad,municipio_rec_ocio,0.2042471095992055,0.2042471095992055
act_fisica,Nivel_soledad,0.20039532689625553,0.20039532689625553
Nivel_soledad,act_fisica,0.20039532689625553,0.20039532689625553
